timestamp_utc,config,commit,tree_state,program,binary,build_type,output,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw,Bc,Bcm,Bi,Bim,D1_misses,LL_misses,branches,mispredicts,wall_runs,wall_median_ms,wall_min_ms,perf_cycles,perf_instructions,perf_ipc,arch,kernel,compiler,valgrind,image_digest
2026-08-30T03:12:04Z,75b84e8,75b84e8afe3c40a848d4ed7220ff41841e7dbcab,unknown,bench/fib32.algo,.worktrees/75b84e8afe3c/build-cfg/algo,RelWithDebInfo,2178309,15996279019,14101368,2476,4865407019,8306060,8808,2691601851,4988473,2445,2602060418,71103548,190329469,497,13294533,13729,2792389887,71104045,10,866,859,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:13:16Z,75b84e8,75b84e8afe3c40a848d4ed7220ff41841e7dbcab,unknown,bench/loop10m.algo,.worktrees/75b84e8afe3c/build-cfg/algo,RelWithDebInfo,10000000,13981640413,2820,2302,3860481289,17346,8762,1840187249,2939,1852,2610307840,50014078,140001972,473,20285,12916,2750309812,50014551,10,653,650,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:14:17Z,75b84e8,75b84e8afe3c40a848d4ed7220ff41841e7dbcab,unknown,bench/vars.algo,.worktrees/75b84e8afe3c/build-cfg/algo,RelWithDebInfo,136000000,12854819055,3068,2373,3452530681,2017942,8797,972220550,1003492,2183,3044335376,217015835,244004644,478,3021434,13353,3288340020,217016313,10,897,894,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:15:19Z,main,82a92b93d9374e7895c4a76e7fd0896530015a75,unknown,bench/arith.algo,.worktrees/82a92b93d937/build-cfg/algo,RelWithDebInfo,24000000,15081690621,2912,2355,4316495437,17509,8778,2064197535,3100,1982,2776315008,108014780,160002613,536,20609,13115,2936317621,108015316,10,841,838,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:16:27Z,main,82a92b93d9374e7895c4a76e7fd0896530015a75,unknown,bench/fib32.algo,.worktrees/82a92b93d937/build-cfg/algo,RelWithDebInfo,2178309,15996279019,14101368,2476,4865407019,8306060,8808,2691601851,4988473,2445,2602060418,71103548,190329469,497,13294533,13729,2792389887,71104045,10,863,862,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:17:40Z,main,82a92b93d9374e7895c4a76e7fd0896530015a75,unknown,bench/loop10m.algo,.worktrees/82a92b93d937/build-cfg/algo,RelWithDebInfo,10000000,13981640413,2820,2302,3860481289,17346,8762,1840187249,2939,1852,2610307840,50014078,140001972,473,20285,12916,2750309812,50014551,10,660,655,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:20:19Z,main,82a92b93d9374e7895c4a76e7fd0896530015a75,unknown,bench/vars.algo,.worktrees/82a92b93d937/build-cfg/algo,RelWithDebInfo,136000000,12854819055,3068,2373,3452530681,2017942,8797,972220550,1003492,2183,3044335376,217015835,244004644,478,3021434,13353,3288340020,217016313,10,897,895,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:37:38Z,75b84e8,75b84e8afe3c40a848d4ed7220ff41841e7dbcab,unknown,bench/arith.algo,.worktrees/75b84e8afe3c/build-cfg/algo,RelWithDebInfo,24000000,15081690621,2912,2355,4316495437,17509,8778,2064197535,3100,1982,2776315008,108014780,160002613,536,20609,13115,2936317621,108015316,10,836,835,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:40:48Z,75b84e8,75b84e8afe3c40a848d4ed7220ff41841e7dbcab,unknown,bench/fib32.algo,.worktrees/75b84e8afe3c/build-cfg/algo,RelWithDebInfo,2178309,15996279019,14101368,2476,4865407019,8306060,8808,2691601851,4988473,2445,2602060418,71103548,190329469,497,13294533,13729,2792389887,71104045,10,860,858,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:44:43Z,75b84e8,75b84e8afe3c40a848d4ed7220ff41841e7dbcab,unknown,bench/loop10m.algo,.worktrees/75b84e8afe3c/build-cfg/algo,RelWithDebInfo,10000000,13981640413,2820,2302,3860481289,17346,8762,1840187249,2939,1852,2610307840,50014078,140001972,473,20285,12916,2750309812,50014551,10,657,634,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T04:35:53Z,75b84e8,75b84e8afe3c40a848d4ed7220ff41841e7dbcab,unknown,bench/vars.algo,.worktrees/75b84e8afe3c/build-cfg/algo,RelWithDebInfo,136000000,12854819055,3068,2373,3452530681,2017942,8797,972220550,1003492,2183,3044335376,217015835,244004644,478,3021434,13353,3288340020,217016313,10,881,876,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
